3

v02 a00 v00
-179.0 0.0 0.0
-143.0 0.0 0.0
-160.0 0.0 0.0
-146.0 0.0 0.0
-244.0 0.0 0.0
-209.0 0.0 0.0
-59.0 0.0 0.0
-116.0 0.0 0.0
-193.0 0.0 0.0
-210.0 0.0 0.0
-171.0 0.0 0.0
-148.0 0.0 0.0
-70.0 0.0 0.0
-172.0 0.0 0.0
-106.0 0.0 0.0
-119.0 0.0 0.0
-51.0 0.0 0.0
-126.0 0.0 0.0
-161.0 0.0 0.0
70.0 0.0 0.0
-112.0 0.0 0.0
-73.0 0.0 0.0
-92.0 0.0 0.0
-273.0 0.0 0.0
-39.0 0.0 0.0
-77.0 0.0 0.0
-173.0 0.0 0.0
-166.0 0.0 0.0
-122.0 0.0 0.0
-219.0 0.0 0.0
-36.0 0.0 0.0
-14.0 0.0 0.0
-253.0 0.0 0.0
-253.0 0.0 0.0
-5.0 0.0 0.0
-269.0 0.0 0.0
-197.0 0.0 0.0
-13.0 0.0 0.0
-199.0 0.0 0.0
-236.0 0.0 0.0
-290.0 0.0 0.0
-122.0 0.0 0.0
-74.0 0.0 0.0
-303.0 0.0 0.0
-42.0 0.0 0.0
-78.0 0.0 0.0
-188.0 0.0 0.0
-303.0 0.0 0.0
-317.0 0.0 0.0
-61.0 0.0 0.0
-144.0 0.0 0.0
-28.0 0.0 0.0
-143.0 0.0 0.0
-80.0 0.0 0.0
-173.0 0.0 0.0
-148.0 0.0 0.0
-38.0 0.0 0.0
-126.0 0.0 0.0
-83.0 0.0 0.0
-92.0 0.0 0.0
-18.0 0.0 0.0
-266.0 0.0 0.0
-48.0 0.0 0.0
-13.0 0.0 0.0
-194.0 0.0 0.0
-154.0 0.0 0.0
-67.0 0.0 0.0
-12.0 0.0 0.0
-89.0 0.0 0.0
-136.0 0.0 0.0
-115.0 0.0 0.0
-127.0 0.0 0.0
-56.0 0.0 0.0
-217.0 0.0 0.0
-19.0 0.0 0.0
-130.0 0.0 0.0
-130.0 0.0 0.0
-153.0 0.0 0.0
-148.0 0.0 0.0
-206.0 0.0 0.0
-171.0 0.0 0.0
-114.0 0.0 0.0
-278.0 0.0 0.0
-285.0 0.0 0.0
-408.0 0.0 0.0
-30.0 0.0 0.0
-347.0 0.0 0.0
-32.0 0.0 0.0
-493.0 0.0 0.0
-59.0 0.0 0.0
11.0 0.0 0.0
-573.0 0.0 0.0
-179.0 0.0 0.0
-160.0 0.0 0.0
66.0 0.0 0.0
-24.0 0.0 0.0
-640.0 0.0 0.0
-640.0 0.0 0.0
-30.0 0.0 0.0
-177.0 0.0 0.0
-177.0 0.0 0.0
-87.0 0.0 0.0
-56.0 0.0 0.0
86.0 0.0 0.0
-304.0 0.0 0.0
-39.0 0.0 0.0
-178.0 0.0 0.0
-87.0 0.0 0.0
-182.0 0.0 0.0
-111.0 0.0 0.0
29.0 0.0 0.0
91.0 0.0 0.0
-378.0 0.0 0.0
-29.0 0.0 0.0
-135.0 0.0 0.0
-66.0 0.0 0.0
-118.0 0.0 0.0
-211.0 0.0 0.0
-61.0 0.0 0.0
6.0 0.0 0.0
-211.0 0.0 0.0
-67.0 0.0 0.0
-195.0 0.0 0.0
-262.0 0.0 0.0
-374.0 0.0 0.0
-92.0 0.0 0.0
-111.0 0.0 0.0
-124.0 0.0 0.0
-262.0 0.0 0.0
-214.0 0.0 0.0
31.0 0.0 0.0
-137.0 0.0 0.0
-323.0 0.0 0.0
